S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
50,00	0,0000E000	2,5422E-023	1,5298E-022	5,9134E-022	1,6235E-021	3,6424E-021	7,0491E-021	1,2230E-020	1,9499E-020	2,9042E-020	4,0877E-020	5,4828E-020	7,0520E-020	8,7401E-020	1,0480E-019	1,2199E-019	1,3830E-019	1,5323E-019	1,6658E-019	1,7854E-019	1,8982E-019	2,0167E-019	2,1584E-019	2,3436E-019	2,5926E-019	2,9203E-019	3,3318E-019	3,8206E-019	4,3713E-019	4,9663E-019	5,5971E-019	6,2591E-019	6,9474E-019	7,6551E-019	8,3719E-019	9,0834E-019	9,7697E-019	1,0407E-018	1,0972E-018	1,1445E-018	1,1817E-018	1,2092E-018	1,2281E-018	1,2400E-018	1,2464E-018	1,2484E-018	TRUE
55,00	0,0000E000	1,9552E-022	9,4353E-022	2,1647E-021	4,7421E-021	9,1025E-021	1,6071E-020	2,6467E-020	4,1157E-020	6,0956E-020	8,6531E-020	1,1831E-019	1,5638E-019	2,0040E-019	2,4958E-019	3,0265E-019	3,5787E-019	4,1317E-019	4,6615E-019	5,1424E-019	5,5480E-019	5,8530E-019	6,0349E-019	6,0768E-019	5,9708E-019	5,7212E-019	5,3492E-019	4,8960E-019	4,4229E-019	4,0035E-019	3,7026E-019	3,5697E-019	3,6157E-019	3,8105E-019	4,0554E-019	4,3363E-019	4,6108E-019	4,8692E-019	5,1084E-019	5,3258E-019	5,5188E-019	5,6843E-019	5,8189E-019	5,9187E-019	5,9802E-019	6,0011E-019	TRUE
60,00	0,0000E000	1,0713E-021	4,5042E-021	9,8328E-021	1,6970E-020	2,7143E-020	4,0373E-020	5,7337E-020	7,8924E-020	1,0627E-019	1,4073E-019	1,8376E-019	2,3685E-019	3,0131E-019	3,7814E-019	4,6777E-019	5,7001E-019	6,8388E-019	8,0773E-019	9,3928E-019	1,0759E-018	1,2145E-018	1,3518E-018	1,4842E-018	1,6074E-018	1,7170E-018	1,8077E-018	1,8743E-018	1,9106E-018	1,9108E-018	1,8690E-018	1,7812E-018	1,6475E-018	1,4745E-018	1,2784E-018	1,0710E-018	8,5603E-019	6,6814E-019	5,0496E-019	3,4657E-019	2,2025E-019	1,4353E-019	1,0936E-019	9,7361E-020	9,2741E-020	9,1278E-020	TRUE
65,00	0,0000E000	4,0491E-021	1,6326E-020	3,6721E-020	5,9614E-020	8,9737E-020	1,2363E-019	1,6021E-019	1,9856E-019	2,3821E-019	2,7930E-019	3,2265E-019	3,6981E-019	4,2310E-019	4,8540E-019	5,5995E-019	6,5004E-019	7,5856E-019	8,8754E-019	1,0378E-018	1,2089E-018	1,3991E-018	1,6061E-018	1,8275E-018	2,0618E-018	2,3078E-018	2,5644E-018	2,8309E-018	3,1062E-018	3,3892E-018	3,6789E-018	3,9734E-018	4,2701E-018	4,5648E-018	4,8509E-018	5,1188E-018	5,3562E-018	5,5506E-018	5,6944E-018	5,7899E-018	5,8475E-018	5,8782E-018	5,8876E-018	5,8807E-018	5,8678E-018	5,8617E-018	TRUE
70,00	0,0000E000	9,2578E-021	4,3781E-020	9,7466E-020	1,6637E-019	2,4589E-019	3,3776E-019	4,3465E-019	5,3191E-019	6,2503E-019	7,0997E-019	7,8347E-019	8,4335E-019	8,8881E-019	9,2061E-019	9,4126E-019	9,5501E-019	9,6769E-019	9,8635E-019	1,0187E-018	1,0720E-018	1,1522E-018	1,2625E-018	1,4025E-018	1,5681E-018	1,7529E-018	1,9505E-018	2,1575E-018	2,3718E-018	2,5929E-018	2,8200E-018	3,0528E-018	3,2907E-018	3,5336E-018	3,7811E-018	4,0329E-018	4,2883E-018	4,5460E-018	4,8034E-018	5,0560E-018	5,2966E-018	5,5158E-018	5,7022E-018	5,8447E-018	5,9341E-018	5,9645E-018	TRUE
75,00	0,0000E000	1,9660E-020	8,1581E-020	2,0034E-019	3,5025E-019	5,2201E-019	7,2545E-019	9,4645E-019	1,1763E-018	1,4059E-018	1,6259E-018	1,8271E-018	2,0009E-018	2,1396E-018	2,2367E-018	2,2876E-018	2,2898E-018	2,2432E-018	2,1509E-018	2,0190E-018	1,8571E-018	1,6782E-018	1,4981E-018	1,3344E-018	1,2041E-018	1,1206E-018	1,0901E-018	1,1080E-018	1,1621E-018	1,2289E-018	1,2914E-018	1,3470E-018	1,3928E-018	1,4277E-018	1,4507E-018	1,4613E-018	1,4595E-018	1,4457E-018	1,4215E-018	1,3888E-018	1,3507E-018	1,3111E-018	1,2741E-018	1,2439E-018	1,2242E-018	1,2173E-018	TRUE
80,00	0,0000E000	4,4318E-020	1,3349E-019	3,2960E-019	5,7843E-019	8,8312E-019	1,2331E-018	1,6297E-018	2,0568E-018	2,5026E-018	2,9545E-018	3,3996E-018	3,8245E-018	4,2159E-018	4,5610E-018	4,8472E-018	5,0632E-018	5,1985E-018	5,2446E-018	5,1948E-018	5,0450E-018	4,7949E-018	4,4479E-018	4,0132E-018	3,5067E-018	2,9523E-018	2,3829E-018	1,8388E-018	1,3616E-018	9,7853E-019	7,2422E-019	5,5942E-019	4,3747E-019	3,9996E-019	3,7928E-019	3,5421E-019	3,2574E-019	2,9503E-019	2,6343E-019	2,3234E-019	2,0320E-019	1,7733E-019	1,5591E-019	1,3990E-019	1,3001E-019	1,2667E-019	TRUE
85,00	0,0000E000	8,7470E-020	2,4399E-019	4,8014E-019	7,9251E-019	1,2225E-018	1,7197E-018	2,2934E-018	2,9254E-018	3,6043E-018	4,3174E-018	5,0515E-018	5,7928E-018	6,5275E-018	7,2411E-018	7,9196E-018	8,5487E-018	9,1143E-018	9,6026E-018	1,0000E-017	1,0293E-017	1,0468E-017	1,0513E-017	1,0416E-017	1,0163E-017	9,7471E-018	9,1600E-018	8,4014E-018	7,4810E-018	6,4255E-018	5,2830E-018	4,1019E-018	3,0127E-018	2,2070E-018	1,3571E-018	5,0100E-019	6,2303E-020	4,9174E-020	3,9906E-020	3,1760E-020	2,4894E-020	1,9387E-020	1,5241E-020	1,2393E-020	1,0740E-020	1,0199E-020	TRUE
90,00	0,0000E000	1,5393E-019	4,0348E-019	7,2568E-019	9,2893E-019	1,4361E-018	2,0363E-018	2,7277E-018	3,5019E-018	4,3473E-018	5,2532E-018	6,2083E-018	7,2011E-018	8,2201E-018	9,2535E-018	1,0290E-017	1,1318E-017	1,2326E-017	1,3305E-017	1,4243E-017	1,5131E-017	1,5958E-017	1,6715E-017	1,7389E-017	1,7971E-017	1,8445E-017	1,8797E-017	1,9006E-017	1,9048E-017	1,8895E-017	1,8509E-017	1,7855E-017	1,6902E-017	1,5626E-017	1,3938E-017	1,2066E-017	1,0821E-017	1,0075E-017	8,7665E-018	6,8651E-018	4,6070E-018	2,5146E-018	1,1188E-018	5,3623E-019	4,2480E-019	4,2206E-019	TRUE
95,00	0,0000E000	2,5030E-019	6,1031E-019	1,0553E-018	9,7822E-019	1,4809E-018	2,1051E-018	2,8222E-018	3,6337E-018	4,5279E-018	5,4959E-018	6,5288E-018	7,6175E-018	8,7527E-018	9,9258E-018	1,1128E-017	1,2352E-017	1,3590E-017	1,4835E-017	1,6082E-017	1,7326E-017	1,8563E-017	1,9791E-017	2,1006E-017	2,2210E-017	2,3400E-017	2,4577E-017	2,5741E-017	2,6892E-017	2,8027E-017	2,9141E-017	3,0221E-017	3,1246E-017	3,2179E-017	3,2970E-017	3,3568E-017	3,3945E-017	3,3876E-017	3,2985E-017	3,1191E-017	2,8796E-017	2,6527E-017	2,5139E-017	2,4776E-017	2,4912E-017	2,5007E-017	TRUE
100,00	0,0000E000	4,0198E-019	8,7378E-019	1,4392E-018	1,5251E-018	1,3926E-018	1,9582E-018	2,6126E-018	3,3561E-018	4,1800E-018	5,0772E-018	6,0400E-018	7,0605E-018	8,1309E-018	9,2435E-018	1,0391E-017	1,1567E-017	1,2766E-017	1,3982E-017	1,5210E-017	1,6448E-017	1,7693E-017	1,8942E-017	2,0196E-017	2,1456E-017	2,2723E-017	2,4000E-017	2,5291E-017	2,6604E-017	2,7943E-017	2,9317E-017	3,0735E-017	3,2205E-017	3,3734E-017	3,5325E-017	3,6973E-017	3,8659E-017	4,0344E-017	4,1967E-017	4,3459E-017	4,4779E-017	4,5925E-017	4,6914E-017	4,7710E-017	4,8228E-017	4,8404E-017	TRUE

10
