S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
85,00	0,0000E000	7,9454E-023	6,9702E-022	2,5936E-021	4,7739E-021	7,0533E-021	1,4331E-020	2,6114E-020	4,3971E-020	6,9577E-020	1,0477E-019	1,5150E-019	2,1180E-019	2,8780E-019	3,8166E-019	4,9564E-019	6,3201E-019	7,9312E-019	9,8141E-019	1,1994E-018	1,4497E-018	1,7352E-018	2,0589E-018	2,4241E-018	2,8346E-018	3,2946E-018	3,8090E-018	4,3834E-018	5,0245E-018	5,7401E-018	6,5395E-018	7,4334E-018	8,4346E-018	9,5576E-018	1,0818E-017	1,2234E-017	1,3820E-017	1,5587E-017	1,7535E-017	1,9643E-017	2,1868E-017	2,4133E-017	2,6309E-017	2,8184E-017	2,9474E-017	2,9936E-017	
90,00	0,0000E000	1,6226E-022	1,1396E-021	3,8463E-021	9,2405E-021	6,9470E-021	1,3263E-020	2,3289E-020	3,8308E-020	5,9757E-020	8,9203E-020	1,2832E-019	1,7883E-019	2,4250E-019	3,2109E-019	4,1637E-019	5,3006E-019	6,6393E-019	8,1973E-019	9,9918E-019	1,2040E-018	1,4360E-018	1,6968E-018	1,9882E-018	2,3120E-018	2,6699E-018	3,0639E-018	3,4957E-018	3,9675E-018	4,4810E-018	5,0381E-018	5,6406E-018	6,2896E-018	6,9858E-018	7,7286E-018	8,5155E-018	9,3414E-018	1,0197E-017	1,1069E-017	1,1937E-017	1,2774E-017	1,3544E-017	1,4210E-017	1,4727E-017	1,5057E-017	1,5170E-017	
95,00	0,0000E000	3,9756E-022	2,1397E-021	6,1918E-021	1,3637E-020	1,5022E-020	1,5257E-020	2,3455E-020	3,4911E-020	5,0646E-020	7,1821E-020	9,9725E-020	1,3571E-019	1,8112E-019	2,3722E-019	3,0510E-019	3,8571E-019	4,7982E-019	5,8803E-019	7,1086E-019	8,4868E-019	1,0017E-018	1,1698E-018	1,3528E-018	1,5501E-018	1,7606E-018	1,9830E-018	2,2156E-018	2,4560E-018	2,7011E-018	2,9475E-018	3,1906E-018	3,4252E-018	3,6451E-018	3,8433E-018	4,0122E-018	4,1438E-018	4,2307E-018	4,2671E-018	4,2505E-018	4,1839E-018	4,0779E-018	3,9516E-018	3,8310E-018	3,7439E-018	3,7121E-018	
100,00	0,0000E000	1,0365E-021	4,6636E-021	1,1696E-020	2,2951E-020	3,7552E-020	2,8871E-020	3,7877E-020	4,7933E-020	5,9378E-020	7,2806E-020	8,9086E-020	1,0931E-019	1,3470E-019	1,6647E-019	2,0567E-019	2,5303E-019	3,0882E-019	3,7291E-019	4,4477E-019	5,2369E-019	6,0878E-019	6,9908E-019	7,9345E-019	8,9043E-019	9,8831E-019	1,0851E-018	1,1784E-018	1,2657E-018	1,3443E-018	1,4113E-018	1,4636E-018	1,4986E-018	1,5137E-018	1,5070E-018	1,4774E-018	1,4249E-018	1,3509E-018	1,2585E-018	1,1526E-018	1,0400E-018	9,2891E-019	8,2852E-019	7,4821E-019	6,9618E-019	6,7814E-019	

10
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	2,3494E-034	7,7808E-034	2,0300E-033	3,9715E-033	7,3590E-033	1,3524E-032	2,4627E-032	4,2997E-032	7,1373E-032	1,1515E-031	1,7911E-031	2,6865E-031	3,9020E-031	5,5082E-031	7,5664E-031	1,0128E-030	1,3247E-030	1,6963E-030	2,1316E-030	2,6396E-030	3,2320E-030	3,9559E-030	4,8950E-030	6,2962E-030	8,8803E-030	1,5469E-029	4,4848E-029	2,4348E-028	
10,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	9,2445E-036	2,5087E-034	2,2176E-033	1,4296E-032	7,2118E-032	3,0189E-031	1,0822E-030	3,4057E-030	9,5941E-030	2,4570E-029	5,7917E-029	1,2693E-028	2,6082E-028	5,0596E-028	9,3212E-028	1,6389E-027	2,7623E-027	4,4791E-027	7,0103E-027	1,0621E-026	1,5615E-026	2,2328E-026	3,1115E-026	4,2335E-026	5,6333E-026	7,3434E-026	9,3922E-026	1,1804E-025	1,4605E-025	1,7822E-025	2,1501E-025	2,5721E-025	3,0637E-025	3,6564E-025	4,4147E-025	5,4782E-025	7,1772E-025	1,0409E-024	1,8177E-024	4,2948E-024	9,1184E-024	
15,00	0,0000E000	0,0000E000	3,4275E-035	2,4961E-033	5,4432E-032	6,1222E-031	4,4525E-030	2,3736E-029	1,0027E-028	3,5355E-028	1,0785E-027	2,9200E-027	7,1491E-027	1,6063E-026	3,3534E-026	6,5696E-026	1,2171E-025	2,1442E-025	3,6105E-025	5,8407E-025	9,1209E-025	1,3789E-024	2,0214E-024	2,8799E-024	4,0024E-024	5,4431E-024	7,2487E-024	9,4504E-024	1,2079E-023	1,5185E-023	1,8831E-023	2,3059E-023	2,7875E-023	3,3283E-023	3,9333E-023	4,6168E-023	5,4053E-023	6,3432E-023	7,5086E-023	9,0496E-023	1,1268E-022	1,4831E-022	2,1371E-022	3,5281E-022	6,6724E-022	9,9762E-022	
20,00	0,0000E000	3,2664E-034	1,0021E-031	3,2902E-030	4,2093E-029	3,1301E-028	1,6229E-027	6,4935E-027	2,1380E-026	6,0517E-026	1,5199E-025	3,4658E-025	7,2957E-025	1,4342E-024	2,6536E-024	4,6485E-024	7,7520E-024	1,2384E-023	1,9086E-023	2,8552E-023	4,1614E-023	5,9105E-023	8,1672E-023	1,0972E-022	1,4371E-022	1,8471E-022	2,3466E-022	2,9574E-022	3,6912E-022	4,5389E-022	5,4730E-022	6,4659E-022	7,5151E-022	8,6553E-022	9,9511E-022	1,1484E-021	1,3350E-021	1,5673E-021	1,8652E-021	2,2656E-021	2,8411E-021	3,7427E-021	5,2957E-021	8,1716E-021	1,3070E-020	1,6679E-020	
25,00	0,0000E000	1,4048E-031	2,0877E-029	4,5394E-028	4,1499E-027	2,3102E-026	9,3363E-026	3,0203E-025	8,3061E-025	2,0199E-024	4,4613E-024	9,1111E-024	1,7412E-023	3,1375E-023	5,3576E-023	8,7033E-023	1,3503E-022	2,0111E-022	2,8941E-022	4,0559E-022	5,5777E-022	7,5682E-022	1,0148E-021	1,3410E-021	1,7363E-021	2,1901E-021	2,6831E-021	3,1976E-021	3,7291E-021	4,2957E-021	4,9423E-021	5,7343E-021	6,7409E-021	8,0158E-021	9,5889E-021	1,1473E-020	1,3691E-020	1,6316E-020	1,9530E-020	2,3704E-020	2,9537E-020	3,8336E-020	5,2472E-020	7,5408E-020	1,0674E-019	1,2519E-019	
30,00	0,0000E000	1,7374E-029	1,2345E-027	1,6247E-026	1,0792E-025	4,8772E-025	1,7088E-024	4,9736E-024	1,2538E-023	2,8140E-023	5,7331E-023	1,0759E-022	1,8815E-022	3,0973E-022	4,8437E-022	7,2617E-022	1,0531E-021	1,4903E-021	2,0733E-021	2,8497E-021	3,8770E-021	5,2111E-021	6,8875E-021	8,8996E-021	1,1186E-020	1,3639E-020	1,6125E-020	1,8520E-020	2,0744E-020	2,2816E-020	2,4913E-020	2,7374E-020	3,0657E-020	3,5228E-020	4,1487E-020	4,9756E-020	6,0326E-020	7,3615E-020	9,0445E-020	1,1238E-019	1,4232E-019	1,8525E-019	2,4888E-019	3,4033E-019	4,4650E-019	5,0089E-019	
